date,cases,deaths,recovered,month,day_of_week,cases_change,deaths_change,cases_ma7,deaths_ma7
2022-09-11,608908659,6516207,0,9,6,,,,
2022-09-12,609393741,6517720,0,9,0,0.07966416519624708,0.023219029106957834,,
2022-09-13,609942218,6519702,-1,9,1,0.09000371403551366,0.03040940697054406,,
2022-09-14,610640243,6522032,-1,9,2,0.11444116826160311,0.03573782973516071,,
2022-09-15,611251541,6524602,-1,9,3,0.10010771596000723,0.03940489712408457,,
2022-09-16,611707437,6526611,-1,9,4,0.0745840246478835,0.03079115017283751,,
2022-09-17,612002534,6527461,-1,9,5,0.04824152562983297,0.01302360444035422,610549481.8571428,6522047.857142857
2022-09-18,612257111,6528049,-1,9,6,0.04159737678470776,0.009008096716311975,611027832.1428572,6523739.571428572
2022-09-19,612673963,6529431,-1,9,0,0.06808446851995775,0.02117018423115624,611496435.2857143,6525412.571428572
2022-09-20,613227572,6531261,-1,9,1,0.09035947884732387,0.028026944461156944,611965771.5714285,6527063.857142857
2022-09-21,613745750,6533318,0,9,2,0.08450011442082683,0.03149468379841647,612409415.4285715,6528676.142857143
2022-09-22,614365390,6535513,0,9,3,0.10096037324902607,0.033597017625663916,612854251.0,6530234.857142857
2022-09-23,614883451,6537341,0,9,4,0.08432457433840135,0.027970260329990282,613307967.2857143,6531767.714285715
2022-09-24,615148616,6538177,0,9,5,0.04312443269838262,0.012788073927927357,613757407.5714285,6533298.571428572
2022-09-25,615371539,6538685,0,9,6,0.03623888507617856,0.007769749885944144,614202325.8571428,6534818.0
2022-09-26,615794219,6540058,0,9,0,0.06868695953778925,0.020998105888270224,614648076.7142857,6536336.142857143
2022-09-27,616393758,6541661,0,9,1,0.09736028392302032,0.024510485992634834,615100389.0,6537821.857142857
2022-09-28,616943716,6544003,0,9,2,0.08922186392419373,0.0358013048979533,615557241.2857143,6539348.285714285
2022-09-29,617587849,6546289,0,9,3,0.10440709310992613,0.034932746821780825,616017592.5714285,6540887.714285715
2022-09-30,618060372,6547762,0,9,4,0.07651105842918504,0.022501298063670738,616471438.4285715,6542376.428571428
2022-10-01,618301429,6548432,0,10,5,0.03900217695884667,0.01023250386926744,616921840.2857143,6543841.428571428
2022-10-02,618502138,6548998,0,10,6,0.032461351468104915,0.008643290485421673,617369068.7142857,6545314.714285715
2022-10-03,618822004,6550361,0,10,0,0.05171623190087793,0.020812344117371318,617801609.4285715,6546786.571428572
2022-10-04,619422193,6551963,0,10,1,0.0969889558096515,0.02445666735009233,618234243.0,6548258.285714285
2022-10-05,620005197,6554150,0,10,2,0.09412061863272037,0.03337930937643563,618671597.4285715,6549707.857142857
2022-10-06,620645800,6556162,0,10,3,0.10332219844280122,0.030698107306048605,619108447.5714285,6551118.285714285
2022-10-07,621221027,6557961,0,10,4,0.09268200960999007,0.027439834464138002,619559969.7142857,6552575.285714285
2022-10-08,621440044,6558674,0,10,5,0.03525588968835702,0.010872281796125982,620008343.2857143,6554038.428571428
2022-10-09,621658996,6559308,0,10,6,0.03523300471444113,0.009666588093870665,620459323.0,6555511.285714285
2022-10-10,622112629,6560625,0,10,0,0.07297135614845462,0.020078337531947987,620929412.2857143,6556977.571428572
2022-10-11,622802836,6562536,0,10,1,0.11094566607809941,0.029128322377824922,621412361.2857143,6558488.0
2022-10-12,623353219,6564438,0,10,2,0.08837194826132322,0.028982698152058006,621890650.1428572,6559957.714285715
2022-10-13,624016113,6566543,0,10,3,0.10634323843925486,0.03206672071547345,622372123.4285715,6561440.714285715
2022-10-14,624494008,6568259,0,10,4,0.07658375962480424,0.026132471834872106,622839692.1428572,6562911.857142857
2022-10-15,624712097,6569036,0,10,5,0.03492251281937975,0.01182961877721489,623307128.2857143,6564392.142857143
2022-10-16,624904267,6569584,0,10,6,0.03076137006516877,0.00834216770924101,623770738.4285715,6565860.142857143
2022-10-17,625380762,6571344,0,10,0,0.07625087956073529,0.0267901285682548,624237614.5714285,6567391.428571428
2022-10-18,626009472,6573191,0,10,1,0.10053235375986347,0.02810688346250867,624695705.4285715,6568913.571428572
2022-10-19,626536431,6575434,0,10,2,0.08417748030495886,0.034123456932855234,625150450.0,6570484.428571428
2022-10-20,627131819,6577637,0,10,3,0.09502847249436286,0.0335034919368038,625595550.8571428,6572069.285714285
2022-10-21,627563033,6579639,0,10,4,0.06875970680098042,0.030436462212790616,626033983.0,6573695.0
2022-10-22,627745374,6580259,0,10,5,0.029055408048539455,0.009423009377873548,626467308.2857143,6575298.285714285
2022-10-23,627906174,6580853,0,10,6,0.025615481477059276,0.00902700030500636,626896152.1428572,6576908.142857143
2022-10-24,628292158,6582173,0,10,0,0.06147160451395184,0.020058190024907496,627312065.8571428,6578455.142857143
2022-10-25,628887107,6584353,0,10,1,0.09469304883478191,0.03311976151341156,627723156.5714285,6580049.714285715
2022-10-26,629354131,6586858,0,10,2,0.07426197719775374,0.0380447403108608,628125685.1428572,6581681.714285715
2022-10-27,629825004,6588984,0,10,3,0.07481844907442081,0.03227639035181529,628510425.8571428,6583302.714285715
2022-10-28,630188852,6590467,0,10,4,0.05776969756507988,0.022507263638815722,628885542.8571428,6584849.571428572
2022-10-29,630387961,6591138,0,10,5,0.03159513205732711,0.010181372579509684,629263055.2857143,6586403.714285715
2022-10-30,630555274,6591741,0,10,6,0.026541274635794032,0.009148647775236718,629641498.1428572,6587959.142857143
2022-10-31,630855587,6592962,0,10,0,0.047626752543816764,0.018523179232921017,630007702.2857143,6589500.428571428
2022-11-01,631257223,6595764,0,11,1,0.06366528382668601,0.04249986576594367,630346290.2857143,6591130.571428572
2022-11-02,631605553,6597350,0,11,2,0.05518035870457627,0.024045736020883446,630667922.0,6592629.428571428
2022-11-03,632099160,6599695,0,11,3,0.07815114950391333,0.0355445747155958,630992801.4285715,6594159.571428572
2022-11-04,632543650,6601673,0,11,4,0.07031966313639781,0.02997108199696008,631329201.1428572,6595760.428571428
2022-11-05,632744972,6602286,0,11,5,0.031827368751558005,0.009285525047975085,631665917.0,6597353.0
2022-11-06,632931615,6602830,0,11,6,0.029497350158314006,0.008239570354873216,632005394.2857143,6598937.142857143
2022-11-07,633236212,6603974,0,11,0,0.04812478833120526,0.017325904195630848,632345483.5714285,6600510.285714285
2022-11-08,633687028,6605250,0,11,1,0.07119239099990793,0.01932169932832295,632692598.5714285,6601865.428571428
2022-11-09,634121053,6607365,0,11,2,0.06849201274796712,0.03201998410355955,633051955.7142857,6603296.142857143
2022-11-10,634581453,6609457,0,11,3,0.07260443377836712,0.031661638187086005,633406569.0,6604690.714285715
2022-11-11,635069827,6611165,0,11,4,0.07696001792854013,0.02584175976936276,633767451.4285715,6606046.714285715
2022-11-12,635312334,6611612,0,11,5,0.0381858796765,0.006761289424783712,634134217.4285715,6607379.0
2022-11-13,635495843,6612117,0,11,6,0.028884847685017867,0.007638076765537072,634500535.7142857,6608705.714285715
2022-11-14,635842682,6613462,0,11,0,0.054577697686064575,0.020341442838955892,634872888.5714285,6610061.142857143
2022-11-15,636346431,6614527,0,11,1,0.07922541443985409,0.016103517340848583,635252803.2857143,6611386.428571428
2022-11-16,636832747,6616833,0,11,2,0.0764231519670533,0.03486265911378794,635640188.1428572,6612739.0
2022-11-17,637312096,6618875,0,11,3,0.07527078377456142,0.030860685164646462,636030280.0,6614084.428571428
2022-11-18,637942820,6621234,0,11,4,0.09896626848269197,0.03564049781874523,636440707.5714285,6615522.857142857
2022-11-19,638190175,6621728,0,11,5,0.03877385123638444,0.007460844911988396,636851827.7142857,6616968.0
2022-11-20,638412606,6622317,0,11,6,0.03485340400297687,0.008894959140581804,637268508.1428572,6618425.142857143
2022-11-21,638754188,6623443,0,11,0,0.05350489586040119,0.017003112354774252,637684437.5714285,6619851.0
2022-11-22,639328415,6625184,0,11,1,0.08989796243810133,0.026285422853344897,638110435.2857143,6621373.428571428
2022-11-23,639919189,6627291,0,11,2,0.09240540325428093,0.03180289030462191,638551355.5714285,6622867.428571428
2022-11-24,640339580,6628690,0,11,3,0.06569438879571177,0.021109681165354388,638983853.2857143,6624269.571428572
2022-11-25,641037771,6630892,0,11,4,0.10903449073067506,0.033219233362857814,639425989.1428572,6625649.285714285
2022-11-26,641308397,6631404,0,11,5,0.04221685714054235,0.0077214347632192926,639871449.4285715,6627031.571428572
2022-11-27,641571858,6631994,0,11,6,0.04108179484823005,0.00889706010973601,640322771.1428572,6628414.0
2022-11-28,641977647,6633172,0,11,0,0.06324918946178926,0.01776238036403921,640783265.2857143,6629803.857142857
2022-11-29,642708342,6634772,0,11,1,0.11381938349639409,0.024121189681203248,641266112.0,6631173.571428572
2022-11-30,643244123,6636401,0,11,2,0.08336300697961985,0.024552463897786758,641741102.5714285,6632475.0
2022-12-01,643950364,6638794,0,12,3,0.10979361874403626,0.03605870109415488,642256928.8571428,6633918.428571428
2022-12-02,644711955,6641139,0,12,4,0.11826858754597769,0.03532268059529553,642781812.2857143,6635382.285714285
2022-12-03,645011864,6641748,0,12,5,0.04651829358430781,0.009170113741041597,643310879.0,6636860.0
2022-12-04,645269011,6642384,0,12,6,0.0398670186320782,0.009575792396820937,643839043.7142857,6638344.285714285
2022-12-05,645774500,6643774,0,12,0,0.07833771518279686,0.020926221669803624,644381451.2857143,6639858.857142857
2022-12-06,646399010,6645516,0,12,1,0.09670713228844274,0.02622003698500297,644908689.5714285,6641393.714285715
2022-12-07,647032502,6647694,0,12,2,0.09800324415718542,0.03277397872489818,645449886.5714285,6643007.0
2022-12-08,647841604,6650703,0,12,3,0.12504812316214142,0.04526381629479381,646005778.0,6644708.285714285
2022-12-09,648512056,6652882,0,12,4,0.1034901117588527,0.03276345372813516,646548649.5714285,6646385.857142857
2022-12-10,648786733,6653491,0,12,5,0.04235495662088251,0.009153927576055487,647087916.5714285,6648063.428571428
2022-12-11,649085967,6654152,0,12,6,0.0461220898609227,0.009934634314534563,647633196.0,6649744.571428572
2022-12-12,649658720,6655818,0,12,0,0.08823992955004911,0.02503699945537452,648188084.5714285,6651465.142857143
2022-12-13,650436793,6657780,0,12,1,0.11976642136042326,0.02947796949976933,648764910.7142857,6653217.142857143
2022-12-14,651122541,6660233,0,12,2,0.10542884525905905,0.03684411320290515,649349202.0,6655008.428571428
2022-12-15,651873247,6663038,0,12,3,0.11529411942137191,0.04211564370195653,649925151.0,6656770.571428572
2022-12-16,652605304,6665736,0,12,4,0.11230051292472343,0.04049203981726368,650509900.7142857,6658606.857142857
2022-12-17,652905777,6666547,0,12,5,0.04604207139573546,0.01216669847110552,651098335.5714285,6660472.0
2022-12-18,653189501,6667338,0,12,6,0.04345558118716841,0.011865212980577411,651684554.7142857,6662355.714285715
2022-12-19,653775912,6669159,0,12,0,0.08977655015922625,0.027312249656463727,652272725.0,6664261.571428572
2022-12-20,654484792,6671373,0,12,1,0.10842858951951584,0.033197589081312984,652851010.5714285,6666203.428571428
2022-12-21,655205564,6673938,0,12,2,0.11012815099911144,0.03844785773483572,653434299.5714285,6668161.285714285
