date,unemployment_rate,gdp_growth,stock_index,retail_sales,year,month,quarter,day_of_week,day_name,month_name,is_weekend,unemployment_ma7,unemployment_ma30,gdp_ma7,gdp_ma30,stock_ma7,stock_ma30,retail_ma7,retail_ma30,unemployment_change,gdp_change,stock_change,retail_change,economic_status,gdp_status,stock_status
2020-01-01,2.64901424590337,-3.138264301171185,819.4306561430208,37069.08956922408,2020,1,1,2,Wednesday,January,0,2.64901424590337,2.64901424590337,-3.138264301171185,-3.138264301171185,819.4306561430208,819.4306561430208,37069.08956922408,37069.08956922408,-0.19426025832037075,-0.09587265577799586,3.410383552616736,-6.115028472798823,Tốt,Suy thoái,Thấp
2020-01-02,2.454753987582999,-3.2341369569491807,847.3763844652217,34802.30418745873,2020,1,1,3,Thursday,January,0,2.5518841167431843,2.5518841167431843,-3.186200629060183,-3.186200629060183,833.4035203041212,833.4035203041212,35935.696878341405,35935.696878341405,-0.19426025832037075,-0.09587265577799586,3.410383552616736,-6.115028472798823,Tốt,Suy thoái,Thấp
2020-01-03,2.4091576842195144,-2.4574399564140355,786.0974692156261,31102.81073928923,2020,1,1,4,Friday,January,0,2.5043086392352945,2.5043086392352945,-2.9432804048448005,-2.9432804048448005,817.6348366079561,817.6348366079561,34324.73483199068,34324.73483199068,-0.04559630336348475,0.7766970005351452,-7.23160526691673,-10.63002446114657,Tốt,Suy thoái,Thấp
2020-01-04,2.64758868146981,-4.913280244657798,748.252465024609,30813.137412277083,2020,1,1,5,Saturday,January,1,2.5401286497939233,2.5401286497939233,-3.43578036479805,-3.43578036479805,800.2892437121194,800.2892437121194,33446.83547706228,33446.83547706228,0.23843099725029582,-2.455840288243763,-4.814289025606344,-0.9313413165139783,Tốt,Suy thoái,Thấp
2020-01-05,2.296150663899673,-2.685752667404726,772.7592777343636,28263.08889599413,2020,1,1,6,Sunday,January,1,2.491333052615073,2.491333052615073,-3.285774825319385,-3.285774825319385,794.7832505165683,794.7832505165683,32410.086160848652,32410.086160848652,-0.35143801757013726,2.2275275772530723,3.2752064116419177,-8.275848324575097,Tốt,Suy thoái,Thấp
2020-01-06,3.064694630676466,-3.225776300486536,802.0258461406377,28225.75544135963,2020,1,1,0,Monday,January,0,2.5868933156253053,2.5868933156253053,-3.275775071180577,-3.275775071180577,795.9903497872465,795.9903497872465,31712.69770760048,31712.69770760048,0.768543966776793,-0.5400236330818098,3.7872814017943623,-0.13209262006670386,Trung bình,Suy thoái,Thấp
2020-01-07,2.486685182642445,-2.8890774102901338,765.4701926773309,33627.094055037014,2020,1,1,1,Tuesday,January,0,2.5725778680563254,2.5725778680563254,-3.220532548196228,-3.220532548196228,791.6303273429728,791.6303273429728,31986.18290009141,31986.18290009141,-0.5780094480340208,0.3366988901964021,-4.557914640683114,19.136205671798322,Tốt,Suy thoái,Thấp
2020-01-08,2.4948083930243583,-3.291693749793277,781.9488016331181,38056.834553526816,2020,1,1,2,Wednesday,January,0,2.550548460502181,2.5628566836773294,-3.2424510408565266,-3.2294276983958587,786.2757766987012,790.420136629241,32127.289326420378,32745.01435677084,0.008123210381913104,-0.402616339503143,2.152743387453282,13.173129058489884,Tốt,Suy thoái,Thấp
2020-01-09,2.69595083257862,-4.057710928955901,824.6763473630957,28837.469050086933,2020,1,1,3,Thursday,January,0,2.5850051526444124,2.5776449224441396,-3.360104465428915,-3.3214591684580856,783.0329142555402,794.2263822663359,31275.170021081547,32310.842656028184,0.2011424395542618,-0.766017179162624,5.464238277588018,-24.22525575655241,Tốt,Suy thoái,Thấp
2020-01-10,2.787659078501427,-4.959670123879776,760.1544185330471,33090.58370760737,2020,1,1,4,Friday,January,0,2.639076780398971,2.5986463380498686,-3.717565917924021,-3.485280264000255,779.3267641580288,790.8191858930071,31559.13758798414,32388.816761186103,0.09170824592280669,-0.901959194923875,-7.823909226493231,14.74857120828923,Tốt,Suy thoái,Thấp
